,,Question,Réponse,
122,FAQ9-122,Pouvons-nous sanctuariser les lettres rouges?,"Vous pouvez leur accorder une importance singulière ou vous pouvez les sanctuariser si vous voulez. C'est en effet quelque chose que vous pouvez faire. Je n'aime pas le terme de sanctuariser. Parce que ça renvoie au sanctuaire, ça a une connotation. Mais en tout cas, vous pouvez mettre les lettres rouges à part si vous ne savez pas encore quoi en faire.",https://youtu.be/9PSui6ZoY0I?t=1673
123,FAQ9-123,L'intervalle de dates d1-d2 énigme quatre est-il un intervalle fermé avec des crochets fermés ou ouverts?,"Un crochet ouvert, j'imagine, comme en maths. Mais je vous répondrais que ce n'est ni l'un ni l'autre. Il ne s'agit pas d'une période.",https://youtu.be/9PSui6ZoY0I?t=1690
124,FAQ9-124,"De façon générale, respectez-vous les règles de notation des échecs?","Oui, tout à fait.",https://youtu.be/9PSui6ZoY0I?t=1707
125,FAQ9-125,Est-ce que le personnage que nous suivons est français?,"Là-dessus, je ne pourrais pas vous répondre.",https://youtu.be/9PSui6ZoY0I?t=1713
126,FAQ9-126,"Au sujet du bâton du personnage barbu, vous avez dit que le type de bâton, globalement, n'a pas beaucoup d'importance. Faut-il comprendre qu'il aurait partiellement plus d'importance et fait-il partie du cahier des charges?","Alors, on peut parler de bâton ou de canne. C'est un support de marche et un support esthétique. Mais ça ne va pas aller plus loin que ça.",https://youtu.be/9PSui6ZoY0I?t=1719
127,FAQ9-127,Ai-je eu tort de penser que la piste des Francs-Maçons était une fausse piste?,"Là-dessus, je ne pourrais pas vous répondre. Vous vous en doutez, c'est trop précis.",https://youtu.be/9PSui6ZoY0I?t=1737
128,FAQ9-128,"Le tronc de l'arbre ne se trouve qu’à un seul endroit en France. Un endroit comme le musée du Louvre ou mon grenier, ou plutôt comme une route qui serait la seule à relier deux villes et qui serait donc un endroit à elle seule?","Alors, quand j'ai parlé du tronc, ce n’était pas une vérité historique, c'est plutôt des morceaux épars de légende. Je l'ai un peu dit en passant, mais il ne faut pas y accorder une vérité sourcée très importante.",https://youtu.be/9PSui6ZoY0I?t=1745
129,FAQ9-129,Le personnage a-t-il la même capacité que le Comte de jouer avec le temps?,Je vais m'abstenir de commentaires sur cette question.,https://youtu.be/9PSui6ZoY0I?t=1769
130,FAQ9-130,Vous indiquez que les runes sur le livre de l'illustration deux ne sont pas utiles pour la compréhension de ce visuel. Mais néanmoins ont-elles un intérêt dans le jeu?,Elles font partie du cahier des charges. C'est tout ce que je pourrais vous dire.,https://youtu.be/9PSui6ZoY0I?t=1776
131,FAQ9-131,Supposons que Monsieur L’orange doive me guider. M’orienterait-il vers une personne rouge et une personne jaune pour trouver mon chemin?,"Monsieur L’orange n’est sans doute pas le seul à vous guider. Mais à terme, vous ne pouvez pas suivre trois chemins différents. Donc il faudra suivre l’un de vos trois messieurs.",https://youtu.be/9PSui6ZoY0I?t=1788
132,FAQ9-132,Les décors des visuels un et cinq sont-ils inspirés de lieux précis existants? Ces lieux pouvaient-ils être couverts de neige à un moment de l’année.,"Oui, c'est possible. Sans doute pas tous, mais il y en a au moins plusieurs. Et de la neige, au moins l'un d'entre eux.",https://youtu.be/9PSui6ZoY0I?t=1803
133,FAQ9-133,"Est-ce que ma dignité est en lien avec ce que je dois prouver durant ma quête? Et si oui, le saurais-je de manière évidente? Par ailleurs, si j'étais indigne, serait-ce pénalisable pour moi?","Elle est en lien avec vos choix, avec ce que vous êtes, avec la quête bien sûr. Et donc oui, si vous êtes indigne, vous ne pourrez pas trouver. Notamment vous serez sans doute bloqué à l'énigme écrite numéro six.",https://youtu.be/9PSui6ZoY0I?t=1824
134,FAQ9-134,Pourrait-on dire que le mal de l’énigme trois est aveugle?,"Non, je pense pas qu'on pourrait dire qu'il soit aveugle.",https://youtu.be/9PSui6ZoY0I?t=1848
135,FAQ9-135,"Cachemire, fer et jade confirment-ils le lieu familier géographiquement?",Je ne peux pas répondre à cette question.,https://youtu.be/9PSui6ZoY0I?t=1855
136,FAQ9-136,"En regardant les visuels et notions indiquées dans ceux-ci, le personnage que nous voyons traverse également les époques. Est-ce que le personnage que nous cherchons est de même nature que le Comte de Saint-Germain? Nature étant l'immortalité et la très longue vie.","Non, là-dessus, je ne pourrais pas donner plus de précisions.",https://youtu.be/9PSui6ZoY0I?t=1861
137,FAQ9-137,"Pour en venir à ce dernier point et pour faire lien avec une des FAQs, tout le monde connaît notre personnage à des degrés divers. Est-ce toujours exact? Si oui, pouvez-vous nous en dire plus sur la manière dont des personnages connaissent très bien le personnage?","Oui (ndr: c'est toujours exact). Non, je peux pas vous en dire davantage.",https://youtu.be/9PSui6ZoY0I?t=1878
138,FAQ9-138,Le sujet de la très longue vie m'amène à me poser la question: notre personnage central a-t-il vécu sur terre physiquement?,Oui.,https://youtu.be/9PSui6ZoY0I?t=1895
139,FAQ9-139,"Êtes vous d'accord pour dire que dans le cadre de la chasse, si notre vie est très longue, un pacte avec des forces obscures paraisse inévitable?","Sans doute, dans le cadre de la chasse.",https://youtu.be/9PSui6ZoY0I?t=1902
140,FAQ9-140,Vous avez dit précédemment qu'il est important de s'intéresser à la religion. Les textes apocryphes sont-ils à exclure?,"Oui, vous pouvez les exclure, tout à fait.",https://youtu.be/9PSui6ZoY0I?t=1912
141,FAQ9-141,Une combinaison de résultats nous aide-t-elle à définir les premiers cercles?,Il ne s'agit pas d'une combinaison.,https://youtu.be/9PSui6ZoY0I?t=1923
142,FAQ9-142,La pièce de l'énigme cinq est-elle trouvable par sa matière? Que cette matière soit réelle ou imaginaire?,"Elle trouvable d'au moins deux façons, deux manières. Et une fois trouvée par l'une ou l'autre, ou encore une autre, la pièce va se confirmer par le calcul et par le lieu familier que vous ne manquerez pas de trouver.",https://youtu.be/9PSui6ZoY0I?t=1929
143,FAQ9-143,"J'ai trouvé un crypto caché dans un visuel qui me donne une dizaine de lettres. Je suis hésitant concernant la méthode pour les remettre dans l'ordre car je me pose cette question:  est-ce que je dois vérifier que, en anglais ou espagnol, mon résultat veut dire quelque chose?","Non, vous n'avez pas besoin de vérifier puisque des résultats, notamment intermédiaires, d’énigmes, peuvent varier en fonction des langues.",https://youtu.be/9PSui6ZoY0I?t=1949
144,FAQ9-144,Le vêtement que porte notre personnage fait-il partie de nos reliques?,Non.,https://youtu.be/9PSui6ZoY0I?t=1969
145,FAQ9-145,"Vous avez précisé dans une ancienne FAQ qu'aucune mesure n'était à faire sur le parchemin en raison des différences de proportion entre les versions papier et numérique. La notion de mesure dans votre réponse fait uniquement référence à des distances? Par exemple, un angle peut être mesuré à n'importe quelle échelle. Confirmez-vous donc qu'aucune mesure n'est nécessaire sur le parchemin?","Le seul angle qui pouvait être indiqué dans un visuel l’était avec une échelle donnée sur le rapporteur. Et j'ai déjà précisé qu'il s'agissait de 18 degrés. Et donc, mis à part ça, il n'y rien d'autre qui vous soit nécessaire de faire sur le parchemin en lui-même.",https://youtu.be/9PSui6ZoY0I?t=1979
146,FAQ9-146,Trouver la grappe nous permet-il de voir une partie du fil rouge? Un RC peut-il en cacher un autre?,"Je répondrai uniquement à la deuxième question et je vous répondrais que oui, un RC peut en effet en cacher un autre.",https://youtu.be/9PSui6ZoY0I?t=2016
147,FAQ9-147,Faut-il s'intéresser un minimum à l'histoire pour trouver la grappe de raisins?,"Pour trouver un bonus, un surplus à la grappe, oui, tout à fait.",https://youtu.be/9PSui6ZoY0I?t=2028
148,FAQ9-148,INRI est-il lié à l’arbre du visuel un?,Non.,https://youtu.be/9PSui6ZoY0I?t=2037
149,FAQ9-149,"Vous avez indiqué que comparer les versions apporterait plus de difficultés que d’informations. Comme je ne suis pas sage, je l'ai fait quand même. Dans l’énigme un, la première virgule après “le temps s’enfuit déjà” de la version française garde exactement la même position quelle que soit la version. Est-ce une pure coïncidence ou bien [est-ce voulu]?","Alors c'est bien voulu, mais je ne peux que vous inviter à ne pas surinterpréter ce type de coïncidence. Car évidemment, il y a des éléments qui vont être strictement les mêmes dans différentes versions pour justement induire en erreur ce jeu des comparaisons et provoquer des pièges. Et à l'inverse, il peut y avoir des différences qui ne sont pas utiles ou alors qui seraient crucialement utiles, mais qui vous donnent des résultats différents entre les énigmes. Et donc la comparaison pourrait vous piéger.",https://youtu.be/9PSui6ZoY0I?t=2041
150,FAQ9-150,Est-ce qu’Hector peut nous aider dans notre recherche ou bien n'est-il qu'un divertissement?,"Alors si vous parlez d’Hector de la guerre de Troie, ça ne vous aidera pas. La chasse ne vous demande pas de  connaître précisément l'épisode de la guerre de Troie.",https://youtu.be/9PSui6ZoY0I?t=2085
151,FAQ9-151,"Dans chaque visuel, les différentes postures du personnage ne nous permettent pas d'avoir une idée de sa taille. Pouvez-vous nous faire une précision?",Il est d’une taille qu'on peut qualifier de moyenne.,https://youtu.be/9PSui6ZoY0I?t=2100
152,FAQ9-152,La bête de l'abîme a trompé l'espérance. Doit-on comprendre que la bête a failli à ses promesses ou au contraire elle a excédé nos attentes?,Il faut comprendre que la bête a coupé court à l'espérance.,https://youtu.be/9PSui6ZoY0I?t=2110
153,FAQ9-153,Est-ce que le personnage des illustrations passe par chez lui lors de son périple?,Non.,https://youtu.be/9PSui6ZoY0I?t=2121
154,FAQ9-154,Est-ce que notre personnage a déjà été fait prisonnier?,"Là-dessus, je ne pourrais pas vous répondre.",https://youtu.be/9PSui6ZoY0I?t=2126
155,FAQ9-155,"Pour l’énigme deux, est-ce qu'on peut déchiffrer la partie en rouge sans comprendre pourquoi celle-ci est écrite en rouge?","Oui, vous pouvez.",https://youtu.be/9PSui6ZoY0I?t=2132
156,FAQ9-156,La relique trouvée grâce à la charade est-elle: Un. Le fragment du corps d'un saint de Jésus ou un objet leur ayant appartenu. Deux. Un objet laïque témoin du passé.,"Alors je ne peux pas vous répondre. Ça vous aiderez d'ailleurs pas énormément, mais si vous trouvez le résultat de la charade, dans tous les cas, si je vous donne, si je réponds à cette question, ça ne vous aidera pas à trouver le résultat de la charade. Mais en trouvant le résultat de la charade, vous aurez répondu à cette question.",https://youtu.be/9PSui6ZoY0I?t=2140
157,FAQ9-157,Pouvez-vous me dire si je dois creuser de nuit ou de jour de préférence?,"Je conseillerais plutôt de nuit pour éviter de tomber sur d'autres personnes. Et après, vous me demandez si vous avez besoin d'une bêche, je vous réponds qu’une pelle suffirait.",https://youtu.be/9PSui6ZoY0I?t=2169
158,FAQ9-158,Ai-je tort de croire que les illustrations de deux à six se déroulent à l'approche de la fête de Pâques?,"Alors c'est une très, très bonne question. La temporalité a son importance. Par contre, Pâques a peu à voir avec les visuels. Mais en tout cas, vous avez raison de vous demander à quel moment les visuels peuvent se dérouler.",https://youtu.be/9PSui6ZoY0I?t=2182
159,FAQ9-159,Ai-je raison de croire que 1543-1938 ne sont pas des années mais que ces nombres en donnent bien une?,"Là-dessus, je ne pourrais pas aller dans le sens de votre piste parce qu'elle est un peu trop précise.",https://youtu.be/9PSui6ZoY0I?t=2202
160,FAQ9-160,Est-ce qu’il y a des questions indispensables à l'avancée du jeu qui n'ont jamais été posées?,"[Oui il y en a plusieurs, mais je n’aurais sans doute pas] pu répondre à toutes parce [que ça aurait accéléré artificiellement la chasse]",https://youtu.be/9PSui6ZoY0I?t=2214
161,FAQ9-161,"Si nous pensons avoir trouvé la grappe et le bonus, faut-il chercher un lien entre eux pour [compléter à 100% l’énigme] une? Ou est-ce qu'on peut faire un lien entre le surplus de la grappe qui a disparu il y a moins d'un an et ce bonus?","Alors, je ne me souviens pas avoir dit qu’un surplus de grappe avait disparu il y a moins d'un an. En tout cas, ce n'est pas le cas. Mais si vous avez trouvé la grappe et le bonus, en tout cas, vous pouvez avancer complètement, sereinement, dans le reste de l'aventure.",https://youtu.be/9PSui6ZoY0I?t=2222
162,FAQ9-162,L'arbre de l’I1 est-il en lien avec la grappe? Son bonus? Ou sert-il encore à trouver autre chose?,"Non, non et non.",https://youtu.be/9PSui6ZoY0I?t=2246
163,FAQ9-163,Vous parliez du fait qu'il y avait eu des demandes particulières pour l'arbre. Est-ce que c'était sur le nombre de racines ou de branches? Ou alors sur le tronc qui semble avoir son importance?,"Là-dessus, je ne peux pas vous dévoiler le contenu des cahiers des charges. Je peux uniquement vous dire, qu'en effet, il y a eu des demandes qui ont été faites à l’artiste pour l'arbre. Sans en préciser les particularités.",https://youtu.be/9PSui6ZoY0I?t=2253
164,FAQ9-164,"Suite à l’indice un, avez-vous prévu un soutien, une aide psychologique pour les alchimistes?","Alors, on en parlera, mais j'ai essayé d'être moins sibyllin que sur le coup de pouce numéro un. En tout cas, j'espère qu'il a pu débloquer certains éléments qui vous faisaient défaut. Et je pense qu'il a été plutôt étendu sachant que ça faisait neuf mois que l’indice attendait.",https://youtu.be/9PSui6ZoY0I?t=2274
165,FAQ9-165,"Dans l’énigme trois, si je dis que le cheval a trouver est lié à une famille, cela vous semble-t-il plausible?","Oui, ça peut me sembler plausible.",https://youtu.be/9PSui6ZoY0I?t=2295
166,FAQ9-166,C'est sans doute une simple coïncidence mais au cas où: un Wolof se cache-t-il dans l’indice?,Alors je ne sais pas ce qu’est un wolof. Donc je ne pourrais pas vous répondre.,https://youtu.be/9PSui6ZoY0I?t=2318
167,FAQ9-167,Au sujet de ce vers “ainsi pouvait briller par l'écrit tumulaire”. Aurait-il pu s'écrire ainsi: “Pouvait briller (virgule) par l’écrit tumulaire”?,"Oui, on aurait pu rajouter une virgule.",https://youtu.be/9PSui6ZoY0I?t=2328
168,FAQ9-168,Voit-on le mal dans l'illustration une?,Je ne peux pas répondre à cette question.,https://youtu.be/9PSui6ZoY0I?t=2340
169,FAQ9-169,Est-ce que l'œil d'Horus aurait pu être dans l'autre sens?,"Non, car il s'agit de l'œil gauche et non de l'œil droit.",https://youtu.be/9PSui6ZoY0I?t=2346
170,FAQ9-170,La zone indiquée par les gardiens peut-elle être utile à autre chose que la grappe?,Oui.,https://youtu.be/9PSui6ZoY0I?t=2353
171,FAQ9-171,Il me semble que vous avez indiqué que le trou de l’énigme trois où était le personnage et la bête était important. Le fait que le personnage tienne un bâton est-il important?,"De l'illustration trois en l’occurrence. Alors le personnage a une canne, notamment parce qu'il marche beaucoup, et ça ne va pas vous donner plus d’indication que ça.",https://youtu.be/9PSui6ZoY0I?t=2358
172,FAQ9-172,"Dans les précédentes FAQs, vous avez précisé que la grappe était intègre Il y a un an. Considérez-vous également qu'elle est intègre aujourd'hui?","Oui, tout à fait. À part pour le bonus et le surplus sur lequel j'avais expliqué qu’il n'existait plus aujourd'hui.",https://youtu.be/9PSui6ZoY0I?t=2378
173,FAQ9-173,Déduit-on la pièce de monnaie de l'énigme cinq d’un objet se situant dans un lieu où nous fait passer notre quête?,"Est-ce que je peux répondre à cette question? Je peux vous répondre que non, non. Vous ne pouvez pas le déduire de cette façon là.",https://youtu.be/9PSui6ZoY0I?t=2394
174,FAQ9-174,"Concernant ce lieu qui m'est familier de l’énigme cinq, est-il familier parce que le CSG y est allé ou par une certaine homonymie?","Alors sur les possibles définitions de familier, j’y étais déjà revenu sur la dernière FAQ, donc je vous invite à revoir ce passage.",https://youtu.be/9PSui6ZoY0I?t=2406
175,FAQ9-175,Est-ce que l’indice numéro un contient des fausses pistes?,"Non, l’indice ne contient pas de fausses pistes.",https://youtu.be/9PSui6ZoY0I?t=2420
176,FAQ9-176,"Les chiffres trois, quatre et cinq entre parenthèses font-ils référence à un mathématicien?","Alors, les chiffres font référence notamment aux énigmes écrites trois, quatre et cinq pour vous préciser pour quelle énigme les vers pourraient vous être utiles.",https://youtu.be/9PSui6ZoY0I?t=2425
177,FAQ9-177,"De la même manière que Jerimadeth, d'autres mots sont-ils à traiter de la même manière?","D'autres mots sont-ils à traiter de la même manière dans l’indice un ou dans le parchemin? Là dessus, je vous laisse interpréter comme vous le souhaitez ce vers de l’indice, j'en dirais pas plus.",https://youtu.be/9PSui6ZoY0I?t=2441
178,FAQ9-178,Illustration une: La colombe se rapproche-t-elle de l'arbre en terme de recherche et est-elle à chercher dans une langue ancienne?,"Il s'agit d'un oiseau commun, pas nécessairement d'une colombe.",https://youtu.be/9PSui6ZoY0I?t=2456
179,FAQ9-179,"Concernant l’énigme trois, suis-je sur la bonne voie s'il s'agit d'une partie de jeux en bois? Sinon, s'agit-il d'un animal volant?","Alors le cheval peut être en bois, mais il ne vole pas dans l’énigme. Voilà.",https://youtu.be/9PSui6ZoY0I?t=2467
180,FAQ9-180,Y a-t-il une apocalypse qui se prépare?,"Je préfère ne pas répondre précisément là-dessus, même si c'est une bonne remarque.",https://youtu.be/9PSui6ZoY0I?t=2481
181,FAQ9-181,"Un arbre semble avoir pris feu sur la droite de la montagne, sous l'aigle. Est-ce que cet élément a une importance?","Oui, un arbre, un arbrisseau, une sorte de buisson, en effet, a pris feu. Ça aurait pu être dessiné légèrement différemment. Mais il a sa place, en tout cas dans le visuel.",https://youtu.be/9PSui6ZoY0I?t=2490
182,FAQ9-182,Est-ce qu'une référence au mal jumeau peut se voir dans l’illustration trois?,"Alors c'est une très bonne question et quiconque a trouvé le mal le retrouvera dans le parchemin, sous une forme sans équivoque.",https://youtu.be/9PSui6ZoY0I?t=2507
183,FAQ9-183,Le lieu familier peut-il être une montagne?,"Oui, ça peut.",https://youtu.be/9PSui6ZoY0I?t=2522
184,FAQ9-184,"Le lieu familier est-il en dehors du dernier cercle, mais proche de celui-ci?","Alors, le lieu familier n'a pas de lien particulier avec le dernier cercle.",https://youtu.be/9PSui6ZoY0I?t=2525
185,FAQ9-185,Vous avez dit dans une FAQ qu'il serait intéressant de se rapprocher d'un certain Hiram. Me conseillez-vous de rester en surface ou de chercher plus en détail?,Vous pouvez creuser assez en détail.,https://youtu.be/9PSui6ZoY0I?t=2534
186,FAQ9-186,"Pour l'Élixir d'Or, croyez-vous en la chance du débutant?","Oui, tout à fait, je crois en la chance du débutant, notamment sur certains passages importants du jeu.",https://youtu.be/9PSui6ZoY0I?t=2555
187,FAQ9-187,"Si je vous dis que la notion d’égale distance est intéressante pour une autre énigme que la cinq, que me répondez-vous?",Je réponds que c'est extrêmement ingénieux de votre part. C'est une très bonne remarque et donc je pense que l'utilisation de la notion d’égale distance ailleurs pourrait être très intéressante en effet.,https://youtu.be/9PSui6ZoY0I?t=2565
188,FAQ9-188,"Si je vois des couleurs inversées comme une colombe rouge et des pavots gris, est-il temps de prendre du repos ou bien d'aller voir plus loin?","Non, je ne pense pas qu'il faille trop creuser cette piste.Et là, je vous conseillerais plutôt de vous ménager à ce sujet.",https://youtu.be/9PSui6ZoY0I?t=2582
189,FAQ9-189,[Est-ce que le fait d’être sincère] peut nous être favorable dans notre quête?,"La sincérité, non. Mais le fait d’être digne peut vous être favorable.",https://youtu.be/9PSui6ZoY0I?t=2596
190,FAQ9-190,"Vous connaissez sans doute la devise de César franchissant le Rubicon à savoir “Veni, Vidi, Vici”. Dans le même esprit, que pensez-vous si, au moment de franchir la dernière étape, je disais “Virtus, Vitium, Veritas” (vertue, vice, vérité)?","Et bien je vous répondrais Virtus, Vitium, d'accord, oui, mais pas encore Veritas. Puisqu'il y a encore, je ne parlerais pas de village gaulois, vous avez compris l’idée.",https://youtu.be/9PSui6ZoY0I?t=2606
191,FAQ9-191,"Vous avez eu une très longue vie, est-ce que nous pourrions vous connaître sous un autre nom mentionné dans la Bible?",Oui.,https://youtu.be/9PSui6ZoY0I?t=2632
192,FAQ9-192,Avez vous connu/côtoyé Jésus entre zéro et 33?,Il est arrivé au Comte dans sa légende tout à fait de croiser Jésus (ce qui lui valut d'ailleurs quelques ennuis avec un ministre).,https://youtu.be/9PSui6ZoY0I?t=2638
193,FAQ9-193,"Au sujet de la grappe, je pense être certain de l’avoir trouvée car le jeu m’en a donné confirmation. Néanmoins, le récent indice, qui n'est pas une nouvelle énigme, comme vous l’avez souligné, renvoie à une autre grappe. L'énigme un doit-elle donc nous faire découvrir deux grappes? Dois-je me fier à cette confirmation vosgienne bien dissimulée ou est-ce un piège?","Il n'y a qu'une seule grappe. Après il y a en effet un bonus, mais qui n’est pas lié à la grappe de l’énigme un. Qui pourra uniquement vous être utile plus tard.",https://youtu.be/9PSui6ZoY0I?t=2647
194,FAQ9-194,"La chasse étant internationale, on se privait de jeux de mots ou d’anagrammes bien franchouillards dans la résolution des énigmes. Or l’indice que vous venez d’émettre contient deux énormes références bien françaises, un anagramme et un à peu près phonétique, contrepèterie. Trois questions: Un. L’indice sera-t-il traduit? Deux. Pourquoi ce revirement? Trois. Ou alors doit-on considérer ces anagrammes ou à peu près phonétiques bien français comme des pures fausses pistes.","Tout à fait, malheureusement, on était obligé de s'en priver. Il y aura un indice anglophone uniquement si une communauté anglophone voit véritablement le jour. Ce que je pouvais encore espérer il y a quatre mois et qui aujourd'hui ne s'est pas encore matérialisé. C'est la raison pour laquelle l'indice est francophone. Tout simplement parce que 100 % des joueurs aujourd'hui, à quelques exceptions près, sont francophones.",https://youtu.be/9PSui6ZoY0I?t=2681
195,FAQ9-195,Est-ce que le mot psalmodiant renvoie simplement aux psaumes et versets ou faut-il aller plus loin?,"Non, ça ne fait pas simplement référence aux psaumes et versets, ce serait une vision limitée du verbe.",https://youtu.be/9PSui6ZoY0I?t=2731
196,FAQ9-196,"Certains lieux indiqués dans l’intro du testament pourraient-ils se révéler plus proches qu'on ne pourrait le croire? Le mont Sion, les Highlands, Bannockburn ou Philadelphie, par exemple?","Alors, non, le Comte n'a pas déplacé les lieux. Donc je ne vois pas dans quelle mesure ils pourraient être plus proche de nous. Sauf si vous allez sur un terrain théorique, symbolique. Il faudrait que la question soit plus précise pour que je puisse vous répondre.",https://youtu.be/9PSui6ZoY0I?t=2743
197,FAQ9-197,Les trois points en triangle après l’énigme six ont-ils une importance ou sont-ils juste une séparation?,"C'est une séparation. Après, je mentirais si je vous disais que c'est une simple séparation, car sa forme a été étudiée.",https://youtu.be/9PSui6ZoY0I?t=2770
198,FAQ9-198,Peut-il y avoir deux lectures à l’acronyme INRI?,Oui.,https://youtu.be/9PSui6ZoY0I?t=2781
199,FAQ9-199,Est-ce que la pièce a été mise en circulation?,"Oui. La pièce a été mise en circulation. Après je crois peu de temps, mais elle a été mise en circulation.",https://youtu.be/9PSui6ZoY0I?t=2785
200,FAQ9-200,La pièce de l'énigme cinq peut-elle être un centime?,Oui.,https://youtu.be/9PSui6ZoY0I?t=2794
201,FAQ9-201,Est-ce que 33ᵉ temps de l'énigme six peut avoir un rapport avec la pièce de l'énigme cinq?,"Non, il n'y a pas de rapport.",https://youtu.be/9PSui6ZoY0I?t=2796
202,FAQ9-202,Les strophes du poème  sont-elles dans l'ordre?,"Là-dessus, je ne  pourrais pas vous répondre.",https://youtu.be/9PSui6ZoY0I?t=2803
203,FAQ9-203,Le poème concerne-t-il plusieurs époques de l'histoire ou bien se focalise-t-il sur un moment précis?,Je ne pourrais pas vous répondre,https://youtu.be/9PSui6ZoY0I?t=2807
204,FAQ9-204,Le texte de fin est-il simplement une conclusion ou est-il utile au bon déroulement de la chasse?,"Ce n'est, en effet, pas une simple conclusion.",https://youtu.be/9PSui6ZoY0I?t=2813
205,FAQ9-205,La chasse aurait-elle un lien avec un groupe de musique de type metal?,"J'imagine que vous faites peut-être référence au groupe Regarde les hommes tomber, qui est un très bon groupe par ailleurs. Je n'aurais pas d’autre commentaire à faire à ce sujet.",https://youtu.be/9PSui6ZoY0I?t=2823
206,FAQ9-206,Le personnage de Paracelse a-t-il un lien étroit avec la chasse?,C'est trop précis pour que je puisse répondre là-dessus.,https://youtu.be/9PSui6ZoY0I?t=2835
207,FAQ9-207,Les O et S de l’énigme une peuvent-ils correspondent à des symboles chimiques?,Non pas dans l’énigme une en tout cas.,https://youtu.be/9PSui6ZoY0I?t=2841
208,FAQ9-208,Et est-ce que la grappe se trouve proche d'une frontière?,"Ce serait trop précis, je ne pourrais pas vous répondre.",https://youtu.be/9PSui6ZoY0I?t=2847
209,FAQ9-209,Est-ce que le mal de l’énigme deux est le même que celui de l’énigme trois?,Il est de même nature.,https://youtu.be/9PSui6ZoY0I?t=2852
210,FAQ9-210,"Dans l'énigme trois, combien de cercles faut-il tracer?",Un seul.,https://youtu.be/9PSui6ZoY0I?t=2858
211,FAQ9-211,Est-ce que les dates de l’énigme quatre sont liées à des écrits?,"Là-dessus, je ne pourrais pas vous répondre. Que ce soit lié à des écrits, des reliques ou des inventions, je vous laisse maître de votre propre interprétation.",https://youtu.be/9PSui6ZoY0I?t=2861
212,FAQ9-212,"Dans l’énigme quatre, peut-il être question d'un peuple d'Amérique latine?","Si il y a des pistes géographiques à explorer, je vous encourage à les explorer. Mais je ne pourrais pas confirmer ou infirmer certaines d'entre elles.",https://youtu.be/9PSui6ZoY0I?t=2872
213,FAQ9-213,"Le personnage des illustrations a-t-il un métier, un domaine de prédilection? Est-il mort?","Je ne peux pas répondre à ces questions. Dans tous les cas, le personnage a été découvert par plusieurs joueurs donc j’estime qu'avec tout ce que j'ai pu donner comme éléments aujourd'hui, le personnage est trouvable. Et je pense que ça ne servirait pas à grand chose de donner encore plus d'indications.",https://youtu.be/9PSui6ZoY0I?t=2889
214,FAQ9-214,Pourquoi un carat d’once d’or et pas un carat d'or ou une once d'or? Est-ce que c'est la même chose ou pas? ,"Non, ce n'est pas pareil. Une once, c'est un poids. Un carat ça peut être un pourcentage de pureté. Et donc un carat once d'or, c'est une synthèse que vous pouvez faire, mais qui n'est pas très compliquée normalement à faire.",https://youtu.be/9PSui6ZoY0I?t=2907
215,FAQ9-215,Est-ce que le bon cheval à choisir est un des cavaliers du jeu d'échecs?,"Là-dessus, je ne répondrai pas.",https://youtu.be/9PSui6ZoY0I?t=2927
216,FAQ9-216,L’arbre de l’illustration une aurait-il pu servir de tuteurs à la vigne?,Non.,https://youtu.be/9PSui6ZoY0I?t=2934
217,FAQ9-217,"La chasse se veut internationale, mais les non francophones ont-ils également accès à un premier indice?","Non, car la part de non francophones est aujourd'hui complètement marginale. Si ça change et qu'il y a une vraie demande dans le sens d'un indice anglophone, évidemment, pour garantir l'équité entre les gens, je ferai un indice pour les non francophones.",https://youtu.be/9PSui6ZoY0I?t=2938
218,FAQ9-218,"Dans le premier indice, est-ce que six aurait pu être écrit en toutes lettres?","Oui, tout à fait.",https://youtu.be/9PSui6ZoY0I?t=2956
219,FAQ9-219,Le mal et le mal jumeaux ont-ils traversé les âges jusqu’à nous?,"Oui, en effet. Même si on va dire qu'ils sont moins présents aujourd'hui qu'ils ne l'étaient au moment où le Comte a rédigé son testament et dans la  période dans laquelle il situe ce mal.",https://youtu.be/9PSui6ZoY0I?t=2962
220,FAQ9-220,Est-ce révoltant de penser que le coup de pouce trois est lié à l'énigme une?,"Non, ce n'est pas révoltant. Même si il n'est pas lié qu’à l’énigme une.",https://youtu.be/9PSui6ZoY0I?t=2987
221,FAQ9-221,"Combien doit-on avoir de cercles au total si on ne trace pas tous les cercles? Est-ce que cela nous empêchera de trouver le coffre? Ou alors, si on a le dernier cercle uniquement, peut-on trouver le coffre? Si on ne trace pas tous les cercles, peut-on dire qu’on a pas la grappe de raisins en entier? Quand on lit trace le dernier cercle, cela veut-il dire qu'il y a plusieurs cercles à tracer avant ou bien seulement un?","Oui, il faut quand même [avoir un minimum de raisonnement correct avant de tracer le dernier cercle, sinon vous risqueriez de ne pas avoir le bon centre. Quand vous dites “les cercles”, je précise qu’il n’y en a qu’un dernier à tracer à l’énigme 3]. Il y a un seul cercle à tracer.",https://youtu.be/9PSui6ZoY0I?t=3003
222,FAQ9-222,"Dans l’énigme 5, peut-on comprendre que le lieu est familier sans avoir fait de tracés liés à d'autres énigmes au préalable?","Oui, tout à fait.",https://youtu.be/9PSui6ZoY0I?t=3055
